query_id,query,expected_version,retrieved_version,retrieved_chunks,temporal_leak,retrieval_latency_ms
q1,What color mode improvements were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,219.294
q2,What CSS utility classes were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,24.296
q3,What Sass variable defaults were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,22.544
q4,What JavaScript selector engine were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,19.031
q5,What modal backdrop focus were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,19.654
q6,What dropdown positioning were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,19.058
q7,What tooltip boundary alignment were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,20.316
q8,What navbar dark mode were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,19.955
q9,What popover arrow offsets were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,18.767
q10,What flexbox grid spacing were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,21.954
q11,What form control validation styling were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,22.042
q12,What button component contrast were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,20.574
q13,What badge padding defaults were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,19.373
q14,What carousel transition timers were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,20.653
q15,What accordion item collapse were introduced or modified in Bootstrap v5.2.3?,v5.2.3,v5.2.3,1,False,18.57
q16,What color mode improvements were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,19.551
q17,What CSS utility classes were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,20.472
q18,What Sass variable defaults were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,20.21
q19,What JavaScript selector engine were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,18.627
q20,What modal backdrop focus were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,18.342
q21,What dropdown positioning were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,18.069
q22,What tooltip boundary alignment were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,20.209
q23,What navbar dark mode were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,20.192
q24,What popover arrow offsets were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,21.862
q25,What flexbox grid spacing were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,20.826
q26,What form control validation styling were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,21.003
q27,What button component contrast were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,19.85
q28,What badge padding defaults were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,21.369
q29,What carousel transition timers were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,24.403
q30,What accordion item collapse were introduced or modified in Bootstrap v5.3.1?,v5.3.1,v5.3.1,5,False,30.25
q31,What color mode improvements were introduced or modified in Bootstrap v5.3.2?,v5.3.2,v5.3.2,4,False,25.908
q32,What CSS utility classes were introduced or modified in Bootstrap v5.3.2?,v5.3.2,v5.3.2,4,False,24.288
